Method,k,Norm,AQT
Standard,20,Euclidean,0.0006318151950836182
Standard,20,Manhattan,0.0006196022033691407
Standard,20,Cosine,0.001055055856704712
Standard,20,Infinity,0.0007247120141983032
Standard,40,Euclidean,0.0005623847246170044
Standard,40,Manhattan,0.0006376117467880249
Standard,40,Cosine,0.0010639965534210206
Standard,40,Infinity,0.000668412446975708
Standard,60,Euclidean,0.00043759346008300783
Standard,60,Manhattan,0.0005497008562088013
Standard,60,Cosine,0.0010365158319473266
Standard,60,Infinity,0.0006092905998229981
Standard,80,Euclidean,0.00047287046909332274
Standard,80,Manhattan,0.0005384504795074463
Standard,80,Cosine,0.0010628342628479005
Standard,80,Infinity,0.0007624775171279907
Standard,100,Euclidean,0.00041847825050354
Standard,100,Manhattan,0.0005778014659881592
Standard,100,Cosine,0.0011377066373825073
Standard,100,Infinity,0.0006878852844238281
Classes,20,Euclidean,0.0005498170852661133
Classes,20,Manhattan,0.0006188154220581055
Classes,20,Cosine,0.0010714560747146606
Classes,20,Infinity,0.0006880313158035278
Classes,40,Euclidean,0.0005250036716461182
Classes,40,Manhattan,0.0007087230682373047
Classes,40,Cosine,0.0010198503732681274
Classes,40,Infinity,0.0006647348403930664
Classes,60,Euclidean,0.0003939926624298096
Classes,60,Manhattan,0.0005868852138519287
Classes,60,Cosine,0.00101223886013031
Classes,60,Infinity,0.000718069076538086
Classes,80,Euclidean,0.0005499482154846192
Classes,80,Manhattan,0.0006375342607498169
Classes,80,Cosine,0.0010423004627227784
Classes,80,Infinity,0.0005707979202270508
Classes,100,Euclidean,0.0005240440368652344
Classes,100,Manhattan,0.0006228744983673096
Classes,100,Cosine,0.0010477721691131592
Classes,100,Infinity,0.0006843924522399903
Lanczos,20,Euclidean,0.0005906790494918824
Lanczos,20,Manhattan,0.0006269782781600953
Lanczos,20,Cosine,0.001094791293144226
Lanczos,20,Infinity,0.0007087409496307373
Lanczos,40,Euclidean,0.0005618810653686523
Lanczos,40,Manhattan,0.0006221115589141845
Lanczos,40,Cosine,0.0010507136583328247
Lanczos,40,Infinity,0.0007450133562088013
Lanczos,60,Euclidean,0.0005168497562408447
Lanczos,60,Manhattan,0.0006634235382080078
Lanczos,60,Cosine,0.0010129272937774657
Lanczos,60,Infinity,0.0006281286478042603
Lanczos,80,Euclidean,0.0004135012626647949
Lanczos,80,Manhattan,0.0005485028028488159
Lanczos,80,Cosine,0.0010574787855148315
Lanczos,80,Infinity,0.0006648063659667969
Lanczos,100,Euclidean,0.0006002426147460937
Lanczos,100,Manhattan,0.0006853669881820678
Lanczos,100,Cosine,0.0010541707277297973
Lanczos,100,Infinity,0.0007137209177017212
